Community,County,per,% Valuation,Rate,Equalizer
Abingdon,Knox,$100.00,33.30%,10.33%,1
Addison,Dupage,$100.00,33.30%,6.23%,1.059
Albion,Edwards,$100.00,33.30%,8.32%,1
Aledo,Mercer,$100.00,33.30%,9.17%,1
Algonquin,Mchenry,$100.00,33.30%,7.53%,1
Allendale,Wabash,$100.00,33.30%,6.95%,1
Alpha,Henry,$100.00,33.30%,8.64%,1
Alsip,Cook,$100.00,10.00%,8.33%,2.9706
Altamont,Effingham,$100.00,33.30%,6.68%,1
Alto Pass,Union,$100.00,33.30%,5.99%,1
Alton,Madison,$100.00,33.30%,7.96%,1
Amboy,Lee,$100.00,33.30%,8.04%,1
Andalusia,Rock Island,$100.00,33.30%,7.34%,1
Andover,Henry,$100.00,33.30%,8.46%,1
Anna,Union,$100.00,33.30%,7.00%,1
Annawan,Henry,$100.00,33.30%,8.08%,1
Antioch,Lake,$100.00,33.30%,7.58%,1.0199
Apple River,Jo Daviess,$100.00,33.30%,7.91%,1
Arcola,Douglas,$100.00,33.30%,9.03%,1
Arlington Heights,Cook,$100.00,10.00%,7.47%,2.9706
Armington,Tazewell,$100.00,33.30%,8.07%,1
Arthur,Moultrie,$100.00,33.30%,7.72%,1
Ashland,Cass,$100.00,33.30%,9.41%,1
Ashton,Lee,$100.00,33.30%,8.31%,1
Assumption,Christian,$100.00,33.30%,8.35%,1
Astoria,Fulton,$100.00,33.30%,10.31%,1
Athens,Menard,$100.00,33.30%,7.31%,1
Atkinson,Henry,$100.00,33.30%,8.04%,1
Atlanta,Logan,$100.00,33.30%,7.76%,1
Atwood,Piatt,$100.00,33.30%,6.81%,1
Auburn,Sangamon,$100.00,33.30%,5.50%,1
Augusta,Hancock,$100.00,33.30%,8.42%,1
Aurora,Kane,$100.00,33.30%,7.99%,1
Barrington,Cook,$100.00,10.00%,6.08%,2.9706
Barry,Pike,$100.00,33.30%,7.83%,1
Bartlett,Dupage,$100.00,33.30%,7.61%,1.059
Bartonville,Peoria,$100.00,33.30%,0.00%,1
Batavia,Kane,$100.00,33.30%,8.60%,1
Beach Park,Lake,$100.00,33.30%,8.21%,1.0199
Beardstown,Cass,$100.00,33.30%,10.26%,1
Bedford Park,Cook,$100.00,10.00%,8.57%,2.9706
Beecher,Will,$100.00,33.30%,8.43%,1
Belle Prairie City,Hamilton,$100.00,33.30%,6.79%,1
Belleville,St,$100.00,33.30%,8.32%,1
Bellmont,Wabash,$100.00,33.30%,0.00%,1
Belvidere,Boone,$100.00,33.30%,8.10%,1
Benld,Macoupin,$100.00,33.30%,5.88%,1
Bensenville,Dupage,$100.00,33.30%,7.23%,1.059
Benton,Franklin,$100.00,33.30%,9.53%,1
Berkeley,Cook,$100.00,10.00%,8.86%,2.9706
Berwyn,Cook,$100.00,10.00%,8.92%,2.9706
Biggsville,Henderson,$100.00,33.30%,8.46%,1
Blandinsville,Mcdonough,$100.00,33.30%,9.54%,1
Bloomingdale,Dupage,$100.00,33.30%,6.18%,1.059
Bloomington,Mclean,$100.00,33.30%,7.79%,1
Blue Island,Cook,$100.00,10.00%,10.32%,2.9706
Blue Mound,Macon,$100.00,33.30%,9.69%,1
Bolingbrook,Will,$100.00,33.30%,6.88%,1
Bourbonnais,Kankakee,$100.00,33.30%,7.06%,1
Bowen,Hancock,$100.00,33.30%,8.74%,1
Braceville,Grundy,$100.00,33.30%,8.09%,1
Braidwood,Will,$100.00,33.30%,6.12%,1
Breese,Clinton,$100.00,33.30%,7.21%,1
Bridgeview,Cook,$100.00,10.00%,9.94%,2.9706
Brighton,Macoupin,$100.00,33.30%,7.23%,1
Brookfield,Cook,$100.00,10.00%,8.75%,2.9706
Brookport,Massac,$100.00,33.30%,7.31%,1
Broughton,Hamilton,$100.00,33.30%,8.40%,1
Browns,Edwards,$100.00,33.30%,9.64%,1
Brownstown,Fayette,$100.00,33.30%,10.75%,1
Buffalo Grove,Lake,$100.00,33.30%,7.95%,1.0199
Bunker Hill,Macoupin,$100.00,33.30%,6.18%,1
Burnham,Cook,$100.00,10.00%,8.52%,2.9706
Bushnell,Mcdonough,$100.00,33.30%,8.91%,1
Byron,Ogle,$100.00,33.30%,7.70%,1
Cahokia,St,$100.00,33.30%,15.02%,1
Cairo,Alexander,$100.00,33.30%,17.27%,1
Calumet Park,Cook,$100.00,10.00%,0.00%,2.9706
Cambridge,Henry,$100.00,33.30%,9.17%,1
Camp Point,Adams,$100.00,33.30%,7.58%,1
Canton,Fulton,$100.00,33.30%,8.33%,1
Capron,Boone,$100.00,33.30%,8.72%,1
Carbon Hill,Grundy,$100.00,33.30%,5.01%,1
Carbondale,Jackson,$100.00,33.30%,8.00%,1
Carlinville,Macoupin,$100.00,33.30%,7.43%,1
Carlyle,Clinton,$100.00,33.30%,7.24%,1
Carmi,White,$100.00,33.30%,8.24%,1
Carol Stream,Dupage,$100.00,33.30%,7.79%,1.059
Carpentersville,Kane,$100.00,33.30%,7.40%,1
Carrier Mills,Saline,$100.00,33.30%,9.08%,1
Carrollton,Greene,$100.00,33.30%,8.02%,1
Carterville,Williamson,$100.00,33.30%,5.86%,1
Carthage,Hancock,$100.00,33.30%,8.58%,1
Casey,Clark,$100.00,33.30%,8.98%,1
Caseyville,St,$100.00,33.30%,7.73%,1
Catlin,Vermilion,$100.00,33.30%,9.36%,1
Cave In Rock,Hardin,$100.00,33.30%,8.62%,1
Centralia,Marion,$100.00,33.30%,9.38%,1
Cerro Gordo,Piatt,$100.00,33.30%,8.13%,1
Chadwick,Carroll,$100.00,33.30%,9.58%,1
Champaign,Champaign,$100.00,33.30%,7.44%,1
Chandlerville,Cass,$100.00,33.30%,10.30%,1
Channahon,Will,$100.00,33.30%,7.66%,1
Charleston,Coles,$100.00,33.30%,9.09%,1
Chatham,Sangamon,$100.00,33.30%,7.37%,1
Chatsworth,Livingston,$100.00,33.30%,11.26%,1
Chenoa,Mclean,$100.00,33.30%,8.58%,1
Cherry Valley,Winnebago,$100.00,33.30%,9.43%,1
Chester,Randolph,$100.00,33.30%,7.16%,1
Chicago Heights,Cook,$100.00,10.00%,13.00%,2.9706
Chicago Ridge,Cook,$100.00,10.00%,8.59%,2.9706
Chillicothe,Peoria,$100.00,33.30%,7.39%,1
Chrisman,Edgar,$100.00,33.30%,8.61%,1
Christopher,Franklin,$100.00,33.30%,8.34%,1
Cissna Park,Iroquois,$100.00,33.30%,8.58%,1
Clarendon Hills,Dupage,$100.00,33.30%,4.87%,1.059
Clayton,Adams,$100.00,33.30%,6.56%,1
Clinton,Dewitt,$100.00,33.30%,7.78%,1
Coal City,Grundy,$100.00,33.30%,5.70%,1
Coal Valley,Rock Island,$100.00,33.30%,7.98%,1
Cobden,Union,$100.00,33.30%,6.55%,1
Collinsville,Madison,$100.00,33.30%,7.12%,1
Colona,Henry,$100.00,33.30%,8.22%,1
Columbia,Monroe,$100.00,33.30%,6.41%,1
Cordova,Rock Island,$100.00,33.30%,6.59%,1
Cortland,Dekalb,$100.00,33.30%,8.39%,1
Coulterville,Randolph,$100.00,33.30%,6.70%,1
Country Club Hills,Cook,$100.00,10.00%,13.80%,2.9706
Crest Hill,Will,$100.00,33.30%,7.16%,1
Crestwood,Cook,$100.00,10.00%,0.00%,2.9706
Crete,Will,$100.00,33.30%,9.19%,1
Creve Coeur,Tazewell,$100.00,33.30%,7.83%,1
Crossville,White,$100.00,33.30%,8.76%,1
Crystal Lake,Mchenry,$100.00,33.30%,7.34%,1
Cypress,Johnson,$100.00,33.30%,8.55%,1
Dahlgren,Hamilton,$100.00,33.30%,7.77%,1
Dakota,Stephenson,$100.00,33.30%,7.91%,1
Dallas City,Hancock,$100.00,33.30%,10.62%,1
Danville,Vermilion,$100.00,33.30%,9.98%,1
Darien,Dupage,$100.00,33.30%,6.38%,1.059
Davis Junction,Ogle,$100.00,33.30%,7.18%,1
De Kalb,Dekalb,$100.00,33.30%,8.42%,1
De Pue,Bureau,$100.00,33.30%,9.81%,1
Decatur,Macon,$100.00,33.30%,8.90%,1
Deerfield,Lake,$100.00,33.30%,7.74%,1.0199
Delavan,Tazewell,$100.00,33.30%,8.33%,1
Des Plaines,Cook,$100.00,10.00%,7.18%,2.9706
Diamond,Grundy,$100.00,33.30%,4.69%,1
Divernon,Sangamon,$100.00,33.30%,7.72%,1
Dixmoor,Cook,$100.00,10.00%,13.52%,2.9706
Dongola,Union,$100.00,33.30%,8.32%,1
Downers Grove,Dupage,$100.00,33.30%,5.55%,1.059
Du Quoin,Perry,$100.00,33.30%,9.53%,1
Dwight,Livingston,$100.00,33.30%,8.82%,1
East Alton,Madison,$100.00,33.30%,9.94%,1
East Brooklyn,Grundy,$100.00,33.30%,7.17%,1
East Dubuque,Jo Daviess,$100.00,33.30%,7.22%,1
East Dundee,Kane,$100.00,33.30%,7.35%,1
East Hazel Crest,Cook,$100.00,10.00%,11.83%,2.9706
East Moline,Rock Island,$100.00,33.30%,9.76%,1
East Peoria,Tazewell,$100.00,33.30%,8.91%,1
